"Date","Sales USD"
"2019-05-20",23298.46
"2019-05-21",24316.08
"2019-05-22",9594.06
"2019-05-23",5426.4
"2019-05-24",95689.65
"2019-05-25",2681.75
"2019-05-26",18939.73
"2019-05-27",8581.99
"2019-05-28",29726.69
"2019-05-29",20138.8
"2019-05-30",10614.29
"2019-05-31",18400.27
"2019-06-01",15548.67
"2019-06-02",17549.49
"2019-06-03",58198.04
"2019-06-04",8216.64
"2019-06-05",24488.73
"2019-06-06",23878.2
"2019-06-07",39795.43
"2019-06-08",4504.63
"2019-06-09",4977
"2019-06-10",19664.03
"2019-06-11",888.09
"2019-06-12",5043.69
"2019-06-13",17847.74
"2019-06-14",3454.2
"2019-06-15",12425.84
"2019-06-16",35071.58
"2019-06-17",13895.44
"2019-06-18",35546.48
"2019-06-19",23110.48
"2019-06-20",36004.1
"2019-06-21",14140.56
"2019-06-22",32191.52
"2019-06-23",4597.83
"2019-06-24",72958.51
"2019-06-25",5717.05
"2019-06-26",32110.11
"2019-06-27",15448.45
"2019-06-28",9733.78
"2019-06-29",31712
"2019-06-30",6982.45
"2019-07-01",2842.93
"2019-07-02",5616.6
"2019-07-03",8539.49
"2019-07-04",15357.6
"2019-07-05",11716.81
"2019-07-06",3085.84
"2019-07-07",18400.15
"2019-07-08",25978.09
"2019-07-09",34206.89
"2019-07-10",49087.69
"2019-07-11",30689.56
"2019-07-12",9236.93
"2019-07-13",5153.84
"2019-07-14",23252.24
"2019-07-15",16069.96
"2019-07-16",30071.15
"2019-07-17",11467.09
"2019-07-18",9977.46
"2019-07-19",1522.31
"2019-07-20",8804.36
"2019-07-21",4066.97
"2019-07-22",6360.38
"2019-07-23",2279.28
"2019-07-24",3756.93
"2019-07-25",5226.21
"2019-07-26",3553.12
"2019-07-27",8742.13
"2019-07-28",4805.2
"2019-07-29",4902.83
"2019-07-30",5647.11
"2019-07-31",15769.76
"2019-08-01",44348.08
"2019-08-02",6754.14
"2019-08-03",5607.35
"2019-08-04",791.11
"2019-08-05",1442.2
"2019-08-06",13515.6
"2019-08-07",6875.06
"2019-08-08",10222.47
"2019-08-09",9752.37
"2019-08-10",1317.04
"2019-08-11",1475.74
"2019-08-12",82390.56
"2019-08-13",8723.25
"2019-08-14",2553.18
"2019-08-15",8478.7
"2019-08-16",5925.28
"2019-08-17",1594.46
"2019-08-18",2637.58
"2019-08-19",7828.79
"2019-08-20",5702.63
"2019-08-21",5624.21
"2019-08-22",21992.31
"2019-08-23",3808.14
"2019-08-24",20689.97
"2019-08-25",1741.35
"2019-08-26",6645.93
"2019-08-27",1970.56
"2019-08-28",40772.68
"2019-08-29",13032.16
"2019-08-30",1781.33
"2019-08-31",10940.68
"2019-09-01",5271.65
"2019-09-02",6995.15
"2019-09-03",12717.82
"2019-09-04",41374.37
"2019-09-05",5670.8
"2019-09-06",1996.92
"2019-09-07",911.43
"2019-09-08",21986.67
"2019-09-09",13610.53
"2019-09-10",5448.72
"2019-09-11",3683.32
"2019-09-12",1208.29
"2019-09-13",2387.56
"2019-09-14",10239.45
"2019-09-15",5050.21
"2019-09-16",6966.86
"2019-09-17",3586.54
"2019-09-18",4264.24
"2019-09-19",6661.33
"2019-09-20",1430.23
"2019-09-21",5585.56
"2019-09-22",4153.49
"2019-09-23",956.18
"2019-09-24",3275.34
"2019-09-25",4461.49
"2019-09-26",5859.35
"2019-09-27",3822.11
"2019-09-28",1288.75
"2019-09-29",13761.57
"2019-09-30",9254.15
"2019-10-01",9922.95
"2019-10-02",5100.82
"2019-10-03",5652.56
"2019-10-04",10353.93
"2019-10-05",3244.84
"2019-10-06",4561.2
"2019-10-07",5307.85
"2019-10-08",9309.53
"2019-10-09",5938.35
"2019-10-10",1890.63
"2019-10-11",4906.17
"2019-10-12",4542.16
"2019-10-13",53932.34
"2019-10-14",70663.59
"2019-10-15",75584.7
"2019-10-16",27133.33
"2019-10-17",7502.66
"2019-10-18",4402.52
"2019-10-19",9294.36
"2019-10-20",5663.93
"2019-10-21",2788.6
"2019-10-22",9020.2
"2019-10-23",4679.54
"2019-10-24",7630.74
"2019-10-25",3391.83
"2019-10-26",11502.27
"2019-10-27",35622.37
"2019-10-28",4945.2
"2019-10-29",10977.2
"2019-10-30",4241.43
"2019-10-31",8983.43
"2019-11-01",4788.1
"2019-11-02",7208.69
"2019-11-03",4019.39
"2019-11-04",4512.51
"2019-11-05",4024.04
"2019-11-06",5770.47
"2019-11-07",5382.28
"2019-11-08",3449.58
"2019-11-09",3210.52
"2019-11-10",6210.69
"2019-11-11",36299.45
"2019-11-12",6369.36
"2019-11-13",3776.94
"2019-11-14",2449.91
"2019-11-15",1920.72
"2019-11-16",3.44
"2019-11-17",10760.05
"2019-11-18",8557.3
"2019-11-19",2313.5
"2019-11-20",6040.95
"2019-11-21",8869.56
"2019-11-22",5853.53
"2019-11-23",4812.46
"2019-11-24",13701.9
"2019-11-25",15696.34
"2019-11-26",2886.13
"2019-11-27",23857.04
"2019-11-28",6530.88
"2019-11-29",6059.91
"2019-11-30",3685.1
"2019-12-01",8981.59
"2019-12-02",5228.41
"2019-12-03",1703.04
"2019-12-04",10888.73
"2019-12-05",79594.52
"2019-12-06",13087.34
"2019-12-07",5707.62
"2019-12-08",9955.67
"2019-12-09",25589.91
"2019-12-10",8645.72
"2019-12-11",15532.73
"2019-12-12",25835.2
"2019-12-13",5787.04
"2019-12-14",8400.56
"2019-12-15",1519.06
"2019-12-16",12741.1
"2019-12-17",3941.33
"2019-12-18",21383.45
"2019-12-19",9720.67
"2019-12-20",15982.88
"2019-12-21",9919.63
"2019-12-22",6913.84
"2019-12-23",4242.65
"2019-12-24",3386.15
"2019-12-25",10099.49
"2019-12-26",11353.62
"2019-12-27",10183.67
"2019-12-28",4624.07
"2019-12-29",3252.22
"2019-12-30",9035.13
"2019-12-31",25889.56
"2020-01-01",18407.21
"2020-01-02",11115.86
"2020-01-03",13806.42
"2020-01-04",26003.11
"2020-01-05",6999.76
"2020-01-06",17139.07
"2020-01-07",29678.04
"2020-01-08",8726.34
"2020-01-09",6737.92
"2020-01-10",6390.53
"2020-01-11",18253.64
"2020-01-12",5311.61
"2020-01-13",12895.47
"2020-01-14",31574.66
"2020-01-15",17915.85
"2020-01-16",5230.5
"2020-01-17",18044.56
"2020-01-18",20186.64
"2020-01-19",12681.93
"2020-01-20",12973.6
"2020-01-21",44593.7
"2020-01-22",24222.44
"2020-01-23",8793.04
"2020-01-24",24630.56
"2020-01-25",8416.93
"2020-01-26",15723.6
"2020-01-27",12225.55
"2020-01-28",35349.77
"2020-01-29",30405.65
"2020-01-30",14573.15
