"Date","Number of Sales (7-day)"
"2020-11-13",1207
"2020-11-14",1223
"2020-11-15",1203
"2020-11-16",1210
"2020-11-17",1148
"2020-11-18",1153
"2020-11-19",1175
"2020-11-20",1198
"2020-11-21",1173
"2020-11-22",1146
"2020-11-23",1090
"2020-11-24",1078
"2020-11-25",1026
"2020-11-26",852
"2020-11-27",2332
"2020-11-28",3282
"2020-11-29",3663
"2020-11-30",3691
"2020-12-01",3757
"2020-12-02",4029
"2020-12-03",4312
"2020-12-04",3150
"2020-12-05",2511
"2020-12-06",2293
"2020-12-07",2385
"2020-12-08",2365
"2020-12-09",2211
"2020-12-10",2235
"2020-12-11",1914
"2020-12-12",2442
"2020-12-13",2474
"2020-12-14",2452
"2020-12-15",2543
"2020-12-16",2494
"2020-12-17",2229
"2020-12-18",2269
"2020-12-19",1527
"2020-12-20",1524
"2020-12-21",1633
"2020-12-22",1696
"2020-12-23",1709
"2020-12-24",1901
"2020-12-25",1836
"2020-12-26",1914
"2020-12-27",2173
"2020-12-28",1989
"2020-12-29",1818
"2020-12-30",1739
"2020-12-31",1772
"2021-01-01",3351
"2021-01-02",3342
"2021-01-03",2900
"2021-01-04",2850
"2021-01-05",2820
"2021-01-06",2888
"2021-01-07",2681
"2021-01-08",1644
"2021-01-09",1555
"2021-01-10",1657
"2021-01-11",1662
"2021-01-12",1775
"2021-01-13",2112
"2021-01-14",2409
"2021-01-15",2569
"2021-01-16",4320
"2021-01-17",4237
"2021-01-18",4401
"2021-01-19",4360
"2021-01-20",4270
"2021-01-21",4454
"2021-01-22",3743
"2021-01-23",1938
"2021-01-24",1937
"2021-01-25",1825
"2021-01-26",2223
"2021-01-27",1963
"2021-01-28",1482
"2021-01-29",1437
"2021-01-30",1364
"2021-01-31",2374
"2021-02-01",2413
"2021-02-02",2006
"2021-02-03",1962
"2021-02-04",1973
"2021-02-05",1962
"2021-02-06",1982
"2021-02-07",1420
"2021-02-08",1570
"2021-02-09",1604
"2021-02-10",1693
"2021-02-11",1788
"2021-02-12",1879
"2021-02-13",2577
"2021-02-14",2430
"2021-02-15",2828
"2021-02-16",3360
"2021-02-17",3930
"2021-02-18",4337
"2021-02-19",5455
"2021-02-20",5493
"2021-02-21",6893
"2021-02-22",6967
"2021-02-23",7480
"2021-02-24",7908
"2021-02-25",7915
"2021-02-26",7305
"2021-02-27",7905
"2021-02-28",7258
"2021-03-01",7436
"2021-03-02",8183
"2021-03-03",7937
"2021-03-04",8176
"2021-03-05",9405
"2021-03-06",8750
"2021-03-07",8151
"2021-03-08",7820
"2021-03-09",6564
"2021-03-10",6269
"2021-03-11",6121
"2021-03-12",4950
"2021-03-13",5264
"2021-03-14",5616
"2021-03-15",5760
"2021-03-16",5765
"2021-03-17",7519
"2021-03-18",7885
"2021-03-19",8005
"2021-03-20",8828
"2021-03-21",8883
"2021-03-22",9231
"2021-03-23",9245
"2021-03-24",7517
"2021-03-25",7090
"2021-03-26",7024
"2021-03-27",5856
"2021-03-28",6232
"2021-03-29",6145
"2021-03-30",6046
"2021-03-31",6174
"2021-04-01",6328
"2021-04-02",6301
"2021-04-03",6278
"2021-04-04",5578
"2021-04-05",5534
"2021-04-06",5621
"2021-04-07",5877
"2021-04-08",5733
"2021-04-09",5656
"2021-04-10",6264
"2021-04-11",6504
"2021-04-12",6135
"2021-04-13",6117
"2021-04-14",5951
"2021-04-15",5754
"2021-04-16",6037
"2021-04-17",5052
"2021-04-18",4501
"2021-04-19",4416
"2021-04-20",4142
"2021-04-21",3654
"2021-04-22",3542
"2021-04-23",3740
"2021-04-24",3989
"2021-04-25",4113
"2021-04-26",4283
"2021-04-27",4666
"2021-04-28",4950
"2021-04-29",5055
"2021-04-30",5024
"2021-05-01",5232
"2021-05-02",5152
"2021-05-03",4782
"2021-05-04",4404
"2021-05-05",4116
"2021-05-06",4043
"2021-05-07",3663
"2021-05-08",3576
"2021-05-09",3421
"2021-05-10",3227
"2021-05-11",4742
"2021-05-12",4634
"2021-05-13",4576
"2021-05-14",5252
"2021-05-15",5099
"2021-05-16",5701
"2021-05-17",6219
"2021-05-18",4945
"2021-05-19",4969
"2021-05-20",5084
"2021-05-21",4285
"2021-05-22",4514
"2021-05-23",3966
"2021-05-24",3702
"2021-05-25",3498
"2021-05-26",3505
"2021-05-27",3414
"2021-05-28",3585
"2021-05-29",3778
"2021-05-30",3804
"2021-05-31",4231
"2021-06-01",4477
"2021-06-02",4511
"2021-06-03",4462
"2021-06-04",4046
"2021-06-05",3338
"2021-06-06",3302
"2021-06-07",2791
"2021-06-08",2394
"2021-06-09",2454
"2021-06-10",2463
"2021-06-11",3660
"2021-06-12",4375
"2021-06-13",4709
"2021-06-14",5762
"2021-06-15",8546
"2021-06-16",8757
"2021-06-17",8929
"2021-06-18",8810
"2021-06-19",8235
"2021-06-20",8311
"2021-06-21",7593
"2021-06-22",5053
"2021-06-23",5128
"2021-06-24",7064
"2021-06-25",7920
"2021-06-26",8888
"2021-06-27",8985
"2021-06-28",10243
"2021-06-29",10636
"2021-06-30",11074
"2021-07-01",9300
"2021-07-02",8857
"2021-07-03",8739
"2021-07-04",8538
"2021-07-05",8498
"2021-07-06",7998
"2021-07-07",8500
"2021-07-08",8529
"2021-07-09",7636
"2021-07-10",7956
"2021-07-11",8745
"2021-07-12",7635
"2021-07-13",8254
"2021-07-14",7856
"2021-07-15",8847
"2021-07-16",9841
"2021-07-17",11936
"2021-07-18",11734
"2021-07-19",12766
"2021-07-20",12505
"2021-07-21",15914
"2021-07-22",15250
"2021-07-23",16058
"2021-07-24",13400
"2021-07-25",13353
"2021-07-26",14089
"2021-07-27",16542
"2021-07-28",13951
"2021-07-29",14288
"2021-07-30",13920
"2021-07-31",19719
"2021-08-01",24328
"2021-08-02",31444
"2021-08-03",32317
"2021-08-04",34948
"2021-08-05",39575
"2021-08-06",41098
"2021-08-07",38240
"2021-08-08",35271
"2021-08-09",32469
"2021-08-10",36715
"2021-08-11",39144
"2021-08-12",35168
"2021-08-13",32825
"2021-08-14",31540
"2021-08-15",31178
"2021-08-16",26675
"2021-08-17",21153
"2021-08-18",16753
"2021-08-19",16394
"2021-08-20",17813
"2021-08-21",20158
"2021-08-22",22927
"2021-08-23",29250
"2021-08-24",32421
"2021-08-25",37336
"2021-08-26",43067
"2021-08-27",47737
"2021-08-28",49098
"2021-08-29",46533
"2021-08-30",44599
"2021-08-31",41302
"2021-09-01",36717
"2021-09-02",30667
"2021-09-03",25705
"2021-09-04",20350
"2021-09-05",18677
"2021-09-06",12642
"2021-09-07",11448
"2021-09-08",9734
"2021-09-09",10178
"2021-09-10",8368
"2021-09-11",7932
"2021-09-12",7369
"2021-09-13",8937
"2021-09-14",10322
"2021-09-15",10281
"2021-09-16",10672
"2021-09-17",10648
"2021-09-18",10468
"2021-09-19",10421
"2021-09-20",18962
"2021-09-21",33309
"2021-09-22",35215
"2021-09-23",36758
"2021-09-24",39256
"2021-09-25",40359
"2021-09-26",41135
"2021-09-27",34123
"2021-09-28",20550
"2021-09-29",18778
"2021-09-30",16906
"2021-10-01",17052
"2021-10-02",17119
"2021-10-03",16975
"2021-10-04",14168
"2021-10-05",11499
"2021-10-06",12297
"2021-10-07",11352
"2021-10-08",8693
"2021-10-09",7947
"2021-10-10",7808
"2021-10-11",7459
"2021-10-12",7229
"2021-10-13",6871
"2021-10-14",6765
"2021-10-15",6655
"2021-10-16",6386
"2021-10-17",6152
"2021-10-18",6034
"2021-10-19",6607
"2021-10-20",5356
"2021-10-21",6819
"2021-10-22",6617
"2021-10-23",6603
"2021-10-24",6534
"2021-10-25",6576
"2021-10-26",5764
"2021-10-27",5499
"2021-10-28",3673
"2021-10-29",4037
"2021-10-30",4333
"2021-10-31",4154
"2021-11-01",3911
"2021-11-02",3700
"2021-11-03",3719
"2021-11-04",3673
"2021-11-05",3509
"2021-11-06",3141
"2021-11-07",3253
"2021-11-08",4850
"2021-11-09",5061
"2021-11-10",5132
"2021-11-11",5334
"2021-11-12",5213
"2021-11-13",5473
"2021-11-14",5939
"2021-11-15",6303
"2021-11-16",8721
