"Date","Sales USD"
"2019-06-15",1505.67
"2019-06-16",973.19
"2019-06-17",306.63
"2019-06-18",56619.18
"2019-06-19",54763.78
"2019-06-20",1977.55
"2019-06-21",118256.02
"2019-06-22",470.48
"2019-06-23",694.53
"2019-06-24",984.03
"2019-06-25",1358.71
"2019-06-26",332.15
"2019-06-27",403.33
"2019-06-28",236.1
"2019-06-29",517.28
"2019-06-30",370.72
"2019-07-01",487.87
"2019-07-02",33.15
"2019-07-03",296.77
"2019-07-04",172.43
"2019-07-05",4421.52
"2019-07-06",814.03
"2019-07-07",618.73
"2019-07-08",486.83
"2019-07-09",1600.65
"2019-07-10",235.38
"2019-07-11",441.68
"2019-07-12",233.94
"2019-07-13",3556.61
"2019-07-14",642.41
"2019-07-15",459.98
"2019-07-16",336.13
"2019-07-17",3602.12
"2019-07-18",22397.53
"2019-07-19",272.28
"2019-07-20",316.17
"2019-07-21",1171.49
"2019-07-22",271.55
"2019-07-23",608.07
"2019-07-24",572.27
"2019-07-25",176.28
"2019-07-26",583.59
"2019-07-27",1153.1
"2019-07-28",476.3
"2019-07-29",257.41
"2019-07-30",242.88
"2019-07-31",590.56
"2019-08-01",144.42
"2019-08-02",2534.06
"2019-08-03",132.78
"2019-08-04",202.51
"2019-08-05",152.43
"2019-08-06",238.43
"2019-08-07",295.91
"2019-08-08",108.93
"2019-08-09",9927.22
"2019-08-10",247.34
"2019-08-11",219.06
"2019-08-12",362.37
"2019-08-13",440.12
"2019-08-14",358.53
"2019-08-15",1208.15
"2019-08-16",337.88
"2019-08-17",684.35
"2019-08-18",530.87
"2019-08-19",244.57
"2019-08-20",232.35
"2019-08-21",184.11
"2019-08-22",755.36
"2019-08-23",17367.3
"2019-08-24",185.24
"2019-08-25",4300.89
"2019-08-26",19922.37
"2019-08-27",545.43
"2019-08-28",636.96
"2019-08-29",460.45
"2019-08-30",3519.62
"2019-08-31",850.89
"2019-09-01",411.71
"2019-09-02",433.69
"2019-09-03",200.5
"2019-09-04",432.44
"2019-09-05",3758.18
"2019-09-06",3487.37
"2019-09-07",167.28
"2019-09-08",207.33
"2019-09-09",184.72
"2019-09-10",286.7
"2019-09-11",98.83
"2019-09-12",159.57
"2019-09-13",232.61
"2019-09-14",454.49
"2019-09-15",577.04
"2019-09-16",326.96
"2019-09-17",201.86
