"Date","Number of Sales (7-day)"
"2020-05-24",742
"2020-05-25",779
"2020-05-26",846
"2020-05-27",805
"2020-05-28",853
"2020-05-29",874
"2020-05-30",916
"2020-05-31",887
"2020-06-01",920
"2020-06-02",819
"2020-06-03",879
"2020-06-04",812
"2020-06-05",803
"2020-06-06",733
"2020-06-07",696
"2020-06-08",664
"2020-06-09",659
"2020-06-10",583
"2020-06-11",585
"2020-06-12",541
"2020-06-13",526
"2020-06-14",528
"2020-06-15",446
"2020-06-16",448
"2020-06-17",434
"2020-06-18",504
"2020-06-19",562
"2020-06-20",637
"2020-06-21",727
"2020-06-22",759
"2020-06-23",811
"2020-06-24",832
"2020-06-25",736
"2020-06-26",820
"2020-06-27",740
"2020-06-28",682
"2020-06-29",660
"2020-06-30",630
"2020-07-01",651
"2020-07-02",680
"2020-07-03",551
"2020-07-04",582
"2020-07-05",574
"2020-07-06",616
"2020-07-07",609
"2020-07-08",556
"2020-07-09",597
"2020-07-10",603
"2020-07-11",615
"2020-07-12",619
"2020-07-13",562
"2020-07-14",582
"2020-07-15",698
"2020-07-16",696
"2020-07-17",672
"2020-07-18",954
"2020-07-19",925
"2020-07-20",963
"2020-07-21",930
"2020-07-22",857
"2020-07-23",825
"2020-07-24",845
"2020-07-25",509
"2020-07-26",543
"2020-07-27",565
"2020-07-28",625
"2020-07-29",626
"2020-07-30",684
"2020-07-31",678
"2020-08-01",769
"2020-08-02",919
"2020-08-03",965
"2020-08-04",1000
"2020-08-05",1044
"2020-08-06",1001
"2020-08-07",1011
"2020-08-08",953
"2020-08-09",800
"2020-08-10",733
"2020-08-11",644
"2020-08-12",582
"2020-08-13",574
"2020-08-14",523
"2020-08-15",512
"2020-08-16",543
"2020-08-17",532
"2020-08-18",567
"2020-08-19",549
"2020-08-20",559
"2020-08-21",571
"2020-08-22",577
"2020-08-23",576
"2020-08-24",620
"2020-08-25",621
"2020-08-26",739
"2020-08-27",824
"2020-08-28",1010
"2020-08-29",2535
"2020-08-30",3829
"2020-08-31",4205
"2020-09-01",4207
"2020-09-02",4131
"2020-09-03",4034
"2020-09-04",4102
"2020-09-05",2670
"2020-09-06",1582
"2020-09-07",1357
"2020-09-08",1529
"2020-09-09",1598
"2020-09-10",1667
"2020-09-11",1495
"2020-09-12",1526
"2020-09-13",1423
"2020-09-14",1302
"2020-09-15",1188
"2020-09-16",1147
"2020-09-17",1047
"2020-09-18",1058
"2020-09-19",1062
"2020-09-20",1131
"2020-09-21",1213
"2020-09-22",1264
"2020-09-23",1339
"2020-09-24",1465
"2020-09-25",1479
"2020-09-26",1556
"2020-09-27",1452
"2020-09-28",1524
"2020-09-29",1453
"2020-09-30",1426
"2020-10-01",1483
"2020-10-02",1563
"2020-10-03",1504
"2020-10-04",1534
"2020-10-05",1448
"2020-10-06",1606
"2020-10-07",1692
"2020-10-08",1685
"2020-10-09",1792
"2020-10-10",1802
"2020-10-11",1955
"2020-10-12",1951
"2020-10-13",1880
"2020-10-14",1903
"2020-10-15",1919
"2020-10-16",1769
"2020-10-17",1849
"2020-10-18",1708
"2020-10-19",1684
"2020-10-20",1601
"2020-10-21",1459
"2020-10-22",1487
"2020-10-23",1479
"2020-10-24",1325
"2020-10-25",1264
"2020-10-26",1260
"2020-10-27",1303
"2020-10-28",1318
"2020-10-29",1301
"2020-10-30",1240
"2020-10-31",1211
"2020-11-01",1181
